Category,Product,Price,Description
Bagels,Regular,1.10,
Bagels,Multigrain,1.15,
Bagels,Mini Bagels,0.80,
Bagels,Bagel Sliced,1.15,
Bagels,Bagel Mezanot,1.55,
Bagels,Dozen/regular bagels,13.20,
Bagels,Dozen/reg sliced bagel,13.80,
Baguettes/Rolls/Buns,Hamburger/Hotdog buns,1.10,
Baguettes/Rolls/Buns,Rolls/OnionBuns,1.15,
Baguettes/Rolls/Buns,hot dog/burger sliced,1.15,
Baguettes/Rolls/Buns,Baguettes Large,4.50,
Baguettes/Rolls/Buns,Baguettes Small,3.50,
Baguettes/Rolls/Buns,Dinner rolls/dozen,12.00,
Baguettes/Rolls/Buns,sub buns 8",1.50,
Baguettes/Rolls/Buns,onion pocket,1.35,
Baguettes/Rolls/Buns,mini onion pockets,1.05,
Baguettes/Rolls/Buns,Sour Dough Rolls,1.50,
Baguettes/Rolls/Buns,3" Hotdog Buns,1.00,
Baguettes/Rolls/Buns,mezanot burger/hotdog,1.75,
Baguettes/Rolls/Buns,Mezanot burger/hot dog CUT,1.80,
Baguettes/Rolls/Buns,Jumbo burger,1.25,
Baguettes/Rolls/Buns,jumbo burger sliced,1.30,
Bilka,Regular,1.60,
Bilka,Square,2.40,
Bilka,Long,1.95,
Bilka,Regular Multigrain,1.70,
Bilka,Square Multigrain,2.45,
Bilka,Long Multigrain,2.05,
Bilka,Cocktail,1.15,
Bilka,Spelt,2.50,
Bilka,Square Chocolate Chips,4.95,
Bilka,Challah 8",2.45,
Bow ties/kichels,bowties/nothings,4.50,
Bow ties/kichels,kichels,4.95,
Boxed cookies,Boxed cookies,10.50,
Boxed cookies,Chocolate Drop with Pumpkin,11.25,
Boxed cookies,Jam Regallach,13.50,
Boxed cookies,Pumpkin seed Mandel bread cookies,11.70,
Boxed cookies,Chocolate Chip Cookies,11.25,
Boxed cookies,Choco Alfajor,12.95,
Bread,Multigrain/Rye large,7.50,
Bread,Sour Dough,7.50,
Bread,French//White/Whole Wheat,5.75,
Bread,Flat Bread 2xbag,4.00,
Bread,1/2 Rye,4.25,
Bread,Small Rye,5.75,
Bread,Flat Bread-Box,7.00,
Bread,Mezanot Bread,6.95,
Bread,Custom,variable,
Bread,Croutons,2.50,
Bread,Sour dough challah,8.50,
Bread,1/2 mezanot bread,3.75,
Bread,Sour dough TOVAS,12.00,
Bread,Sour dough rolls,2.25,
Bread,Sour dough plain TOVAs,9.99,
Bread Items,Regular,variable,
Bread Items,Toonie Buns,0.50,
Bread Items,Dome Slider Buns,0.55,
Bread Items,Rolls,1.15,
Bread Items,3" (Medium) Hamburger Buns,1.25,
Bread Items,Mezonot Hamburger Buns,1.85,
Bread Items,Mezonot Hotdog Buns,1.85,
Bread Items,Mezanot dome slider bun,1.10,
Bread Items,Mezanot toonie buns,0.85,
Bread Items,Pita bread,0.90,
Bread Items,Dinner rolls-Dozen,12.00,
Bubka/Chocolate Strip,Crown Bubka,24.95,
Bubka/Chocolate Strip,Chocolate Strip/Kokosh,20.95,
Bubka/Chocolate Strip,Chocolate Loaf Bubka,13.75,
Bubka/Chocolate Strip,3 Strip Chocolate Tray,13.75,
Bubka/Chocolate Strip,Icy Bun Tray,12.95,
Bubka/Chocolate Strip,Round Choco/cheese/poppy/cinnamon,12.95,
Bubka/Chocolate Strip,Personal bubkah,3.95,
Bubka/Chocolate Strip,"Bubkah weddingcake 14,10,7",595.00,
Bubka/Chocolate Strip,Mini bubkah,4.99,
Cakes,Regular,variable,
Cakes,Brownie 1/4 Slab,60.00,
Cakes,Brownie 1/2 Slab,80.00,
Cakes,Brownie Full Slab,130.00,
Cakes,Napoleon 1/4 Slab,60.00,
Cakes,Napoleon 1/2 Slab,80.00,
Cakes,Napoleon Full Slab,130.00,
Challah,Large,7.95,
Challah,Small,5.50,
Challah,Holiday Challah,14.00,
Challah,Frozen challah large,5.95,
Challah Multigrain,Large,8.50,
Challah Multigrain,Small,6.50,
Challah Spelt,Large,11.00,
Challah Spelt,Small,9.00,
Chanukah Cookies,Large Dreidel/Menorah Cookie,3.50,
Chanukah Cookies,Small Menorah/Dreidel Cookie,2.50,
Chanukah Cookies,Chanukah written cookie,3.25,
Chanukah Cookies,Chocolate&Sprinkle menorah/Dreidel,1.95,
Chanukah Cookies,Rectang gift box,25.95,
Chanukah Cookies,Square gift box,19.95,
Chanukah Cookies,Dreidel-Menorah Cookie Pack,5.00,
Chanukah Cookies,Chanukah cookie kit,34.95,
Chanukah Cookies,4 dreidel pack,9.50,
Chanukah Cookies,Cookie box,10.50,
Chanukah Cookies,Chanukah Cookie bite cup,7.50,
Chanukah Cookies,Chanukah cookie kit,27.96,
Chanukah Cookies,Chanukah printed picture,4.25,
Chanukah,Sufganiyot/Jelly Donuts,2.95,
Chanukah,Donuts-Assorted Iced,2.95,
Churros/Donuts,Regular,variable,
Churros/Donuts,Churros pack,3.99,
Churros/Donuts,Donuts,1.40,
Churros/Donuts,Cinnamon&sugar single,1.20,
Churros/Donuts,Churro platter 100pcs,120.00,
Churros/Donuts,Mini churros,0.90,
Churros/Donuts,Churro regular,1.25,
Coffee/Tea,Regular,1.95,
Cookies,Regular Iced Cookies,2.75,
Cookies,Hand Written Cookies,3.50,
Cookies,Ginger Bread PeopleX2,5.00,
Cookies,Bear Cookie,1.95,
Cookies,Cookies With Ribbon,5.25,
Cookies,Smiley Face Cookie,2.95,
Cookies,Chocolate Chip/Oatmeal/Raisin,4.75,
Cookies,Biscotti,2.75,
Cookies,Assorted (per lb),20.00,
Cookies,Printed picture cookie,4.25,
Cookies,Custom Cookies,variable,
Cookies,Baby Cookies,3.00,
Cookies,Ginger Bread Bride & Groom,3.50,
Cookies,Square Proposal Cookie,4.25,
Cookies,Plain Cookies,1.50,
Cookies,Wedding Cookies,3.95,
Cookies,Cookie on a Stick,3.45,
Cookies,Small Decorated Cookies,2.50,
Cookies,Medium Size Cookies,2.95,
Cookies,Larger Cookies,3.50,
Cookies,written Israel flag,3.75,
Cookies,iced cookie GF,3.75,
Cookies,Written cookie GF,4.25,
Cookies,Happy Bites,7.50,
Cookies,Individually wrapped,0.25,
Cupcake (No Icing),Regular,3.25,
Custom Cookie,Regular,variable,
Custom Cookie,Fancy Cookies,1.00,
Custom Cookie,Printed/Logo Cookies,4.25,
Custom Cookie,Chocolate Chip Cookie - Store Size,4.95,
Custom Cookie,Chocolate Chip Cookie 7",35.00,
Custom Cookie,Chocolate Chip Cookie 9",45.00,
Custom Cookie,Chocolate Chip Cookie 10",50.00,
Custom Cookie,Chocolate Chip Cookie 12",55.00,
Custom Cookie,Chocolate Chip Cookie 14",60.00,
Custom Cookie,Chocolate Chip Cookie 1/2 Slab,95.00,
Custom Cookie,Shortbread Cookie Decorated 7",30.00,
Custom Cookie,Shortbread Cookie Decorated 9",35.00,
Custom Cookie,Shortbread Cookie Decorated 10",40.00,
Custom Cookie,Shortbread Cookie Decorated 12",45.00,
Danish/Croissant/Bun,Croissant/Danish/BlueB/Cherry Bun/choco bufalo,4.25,Medium size
Danish/Croissant/Bun,Small Croissant/mini danishes,1.95,
Danish/Croissant/Bun,Small Cheese Danish,2.25,
Danish/Croissant/Bun,Cheese Danish & cheese croissant,4.65,
Danish/Croissant/Bun,Mini cheese,1.75,
Danish/Croissant/Bun,Cheese pastry,4.75,
Danish/Croissant/Bun,Danish Medium size,2.75,
Elite Salads,Manzanilla olive dip,4.30,
Elite Salads,Black olive tapenade,4.30,
Elite Salads,Spanish eggplant,6.70,
Elite Salads,White fish,9.00,
Fancy Cakes,5" Round Cake,25.00,"Checkerboard, Chocolate Mouse, Chocolate Cake, Strawberry Shortcake, Caramel Crunch, Lemon Mouse, 1/2 and 1/2, Mocha, Black Forest, Cookie cake, Raspberries mouse, Doboush/7 layers"
Fancy Cakes,5" Round Cake Caramel/Strawshort/BlackForest,28.00,
Fancy Cakes,7" Round Cake,32.50,
Fancy Cakes,7" R Cake Caramel/Strawshort/BlackForest,37.50,
Fancy Cakes,9" Round Cake,55.00,
Fancy Cakes,9" Round Cake Caramel/Strawshort/BlackForest,60.00,
Fancy Cakes,10" Round Cake,70.00,
Fancy Cakes,10" Round Cake Caramel/Strawshort/BlackForest,75.00,
Fancy Cakes,12" Round Cake,85.00,
Fancy Cakes,12" Round Cake Caramel/Strawshort/BlackForest,95.00,
Fancy Cakes,Seven Layer,22.50,
Fancy Cakes,seven layer straw/caramel/blackforest,25.00,
Fancy Cakes,1/4 Slab,70.00,
Fancy Cakes,1/4 Slab straw/caramel/blackf,80.00,
Fancy Cakes,1/2 Slab,90.00,
Fancy Cakes,1/2 Slab straw/caramel/blackf,110.00,
Fancy Cakes,Full Slab,175.00,
Fancy Cakes,Full Slab straw/caramel/blackf,225.00,
Fancy Cakes,printed picture,20.00,
Fancy Cakes,1/4 Slab Brownie/napoleon,50.00,
Fancy Cakes,1/2 Slab Brownie/napoleon,75.00,
Fancy Cakes,Full Slab Brownie/napoleon,130.00,
Fancy Cakes,Swiss Roll Cake Strawberry/Mousse,22.50,
Fancy Cakes,7" Purim Cake,40.00,
Fancy Cakes,Full Slab Choco&marble,100.00,
Fancy Cakes,1/2 Slab Choco&Marble,55.00,
Fancy Cakes,Caramel brittle small,80.00,
Fancy Cakes,Caramel brittle 1/2size,45.00,
Fancy Cakes,Caramel brittle Large,110.00,
Fancy Cakes,fullslab icing Torah scroll,325.00,
Fancy Cakes,fullslab fondant torah scroll,475.00,
Fancy Cakes,Custom Cake,variable,
Fancy Cakes,FS Barmitzvah buttercream/fondantdetails,485.00,
Father's Day,Regular,variable,
Father's Day,Heart/square Written cookie,3.75,
Father's Day,heart cookie,2.95,
Full Slab Focaccia,Regular,85.00,
Gluten Free,GF Cookies Chocolate Chip/Sprinkle/Poppy Seeds,9.99,
Gluten Free,GF Bites,11.50,
Gluten Free,GF Pies Blueberry/Cherry/Apple Raspberry,21.50,
Gluten Free,Large challah,25.00,
Gluten Free,small challah,17.00,
Gluten Free,Bilka,10.00,
Gluten Free,GF hamentashen,2.25,
Gluten Free,GF hamentashen x6,13.50,
Graduation Cookie,Regular,variable,
Graduation Cookie,hat,3.75,
Graduation Cookie,badge/diploma,3.25,
Graduation Cookie,boy/girl,4.25,
Graduation Cookie,2x pack,7.50,
Graduation Cookie,rectangle large cookie,4.25,
Graduation Cookie,written round,3.25,
Ingredients,Regular,variable,
Ingredients,Sweet Challa Dough - Bilkha Size - RAW,0.80,
Ingredients,Water Challa Dough - Bilkha Size - RAW,0.80,
Ingredients,Sweet Challah Dough - SM - 12oz,1.95,
Ingredients,Bread Dough - White - LB - Ball,2.00,per lb
Ingredients,Bread Dough - Whole Wheat - LB - Ball,2.00,per lb
Ingredients,Challa Dough - Whole Wheat - LB - Ball,2.00,per lb
Ingredients,Cookie Dough - LB,7.50,per lb
Ingredients,Cookie Dough Oatmeal LB,8.50,per lb
Ingredients,Croissant Dough - LB,8.00,per lb
Ingredients,Danish Dough - LB,8.00,per lb
Ingredients,French Dough - LB,9.00,per lb
Ingredients,Pizza Dough - White,5.25,per lb
Ingredients,Pizza Dough - Whole Wheat,5.25,per lb
Ingredients,Butter - Whipped,9.75,per lb
Ingredients,Chocolate Chips,8.50,per lb
Ingredients,Chocolate Chunks,7.50,per lb
Ingredients,Cream Cheese - Small Container,10.95,
Ingredients,Cup Yogurt/Parfait Cup & Lid,1.00,
Ingredients,Custard Creme,13.00,per lb
Ingredients,Cutlery Set,1.00,
Ingredients,Filling Apple,4.95,per lb
Ingredients,Filling Blueberry,5.50,per lb
Ingredients,Filling Cherry,5.50,per lb
Ingredients,Filling Date,5.50,per lb
Ingredients,Filling Lemon,4.95,per lb
Ingredients,Filling Poppyseed,7.95,per lb
Ingredients,Filling Prune,6.50,per lb
Ingredients,Filling Strawberry Jam,5.95,per lb
Ingredients,Flour - White/Bread/Five Roses,1.95,per lb
Ingredients,Flour - Wholewheat,1.95,per lb
Ingredients,Granola - Bulk - lb,9.95,per lb
Ingredients,Honey - Bulk Liquid,9.95,per lb
Ingredients,Icing (Buttercream),7.50,per lb
Ingredients,Cupcake Icing,10.00,per lb
Ingredients,Milk 2% - 2L Jug,7.95,
Ingredients,Pareve Wipped Topping - lb,6.95,per lb
Ingredients,Poppy Seeds,8.95,per lb
Ingredients,Pumpkin Seeds,8.95,per lb
Ingredients,Rainbow Sprinkles - Non Pareils - lb,6.95,per lb
Ingredients,Raisins,3.95,per lb
Ingredients,Sesame Seeds,5.95,per lb
Ingredients,Sprinkles,5.00,per lb
Ingredients,Yeast 1 lb,16.00,
Ingredients,chocolate icing 1lb,10.00,
Ingredients,L&S tray plastic container,5.00,
Ingredients,Sweet Challah Dough - LG - 1.5lb - ball,2.95,
Ingredients,piping bag 4oz,2.25,
Ingredients,Whipped cream,variable,
Invigo Coffee,Regular,variable,
Invigo Coffee,Egg sandwich,4.55,
Invigo Coffee,Tuna sandwich,5.25,
Invigo Coffee,Cream cheese&lox Sandwich,5.95,
Invigo Coffee,Boxed cookie,7.50,
Invigo Coffee,Omelette Sandwich,6.95,
La Briut Salads,Spicy Carrot,3.99,
La Briut Salads,Coleslaw,5.99,
La Briut Salads,Eggplant,3.99,
La Briut Salads,Salmon pate,4.39,
La Briut Salads,Hummus,2.99,
La Briut Salads,Babaganough,3.99,
Loaf/Bundt Cakes,Loaf Cakes,12.95,
Loaf/Bundt Cakes,M Bundt Cake,17.50,
Loaf/Bundt Cakes,L Bundt Cake,21.95,
Loaf/Bundt Cakes,Bundt 10inch,19.50,
Loaf/Bundt Cakes,mini loaf cake,6.95,
Meringue Powder,Regular (per lb),35.00,
Miscellaneous,Patty Shells,2.25,
Miscellaneous,Patty Shells (medium),2.75,
Miscellaneous,Patty Shells (large),3.00,
Miscellaneous,Yeast 1lb,16.00,
Miscellaneous,Herring Matjes,17.60,per lb
Miscellaneous,Herring Schmaltz,9.60,per lb
Miscellaneous,5 Inch Sponge Cake Plain,5.00,
Miscellaneous,7 Inch Sponge Cake Plain,7.00,
Miscellaneous,10 Inch Sponge Cake Plain,10.00,
Miscellaneous,Loose Tuna,14.00,per lb
Miscellaneous,Loose Egg,13.50,per lb
Miscellaneous,Pie Box,1.00,
Miscellaneous,Cake Box,1.00,
Miscellaneous,1 pack lox (4 pieces),8.00,
Mishloach Manot,Bag w/juice,10.00,
Mishloach Manot,Small Bowl,18.50,
Mishloach Manot,Medium Bowl,27.50,
Mishloach Manot,Large Bowl,37.50,
Mishloach Manot,small basket,49.00,
Mishloach Manot,medium Basket,69.00,
Mishloach Manot,Big Basket,95.00,
Mishloach Manot,Hamentashen Kit,34.50,
Mishloach Manot,Pack assorted x4,7.80,
Mishloach Manot,Assorted x6,11.70,
Mishloach Manot,Purim Cookie Kit,35.00,
Mother's Day,Regular,variable,
Mother's Day,Ribbon cookie,4.95,
Mother's Day,Square/heart written,3.95,
Mother's Day,7" choco chip cookie,12.00,
Mother's Day,Cupcake bouquet,38.50,
Muffins/Cupcakes,Muffin/Spelt&Sugar free Muffins,3.50,
Muffins/Cupcakes,Small Muffin,1.95,
Muffins/Cupcakes,Cupcake,3.75,
Muffins/Cupcakes,Small Cupcakes,1.75,
Muffins/Cupcakes,cupcake no icing,3.25,
Muffins/Cupcakes,Printed picture cupcake,5.25,
Pastries,Pastries,4.50,"Brownie, Corn Flake Cluster, Cream Horn, Cream Puff, Éclair, Domino, Hockey Puck, Swiss Rolls, Napoleon, Strawberry Tart, Tarts & Bells, Upside Down Cupcake, Large Ishler cookie"
Pastries,Cake Pops/marshmellows,4.25,
Pastries,Ishler cookie,2.95,
Pastries,Scone/fruit tart/éclairs,3.95,
Pastries,Rum Ball,3.50,
Pastries,4'Inch fruit Tarts,7.95,
Pastries,7'Inch Fruit Flan,35.00,
Pastries,9"fruit tart,50.00,
Pastries,Chocolate Cigar,4.50,
Pastries,1/2 sliced napoleon,2.25,
Pastries,Single marshmallow,1.95,
Pastries,Triffle cake cups/shooters,3.95,
Pastries,Mini round cake,4.95,
Petit Fours & Desserts,Regular,variable,
Petit Fours & Desserts,Assorted Petit Fours - from,2.50,
Petit Fours & Desserts,Brownie PF Size 1/3 Size,2.50,
Petit Fours & Desserts,Chocolate Dipped Strawberries,3.35,
Petit Fours & Desserts,Tuxedo Strawberries,3.95,
Petit Fours & Desserts,Swiss Roll PF Size,2.75,
Pies/Apple Strudel,Apple Strudel,12.95,
Pies/Apple Strudel,Apple Strudel Sugar Free,12.00,
Pies/Apple Strudel,Crumble & Fruit Pies,21.00,
Pies/Apple Strudel,Apple Cranberry,21.00,
Pies/Apple Strudel,Chocolate or caramel Chip Cookie Pie,27.50,
Pies/Apple Strudel,Lemon Meringue Pie,21.00,
Pies/Apple Strudel,Sugar Free Pies,24.95,
Pies/Apple Strudel,Small pie,7.50,
Pies/Apple Strudel,Full Slab Pie,130.00,
Pies/Apple Strudel,9"lemon merengue,35.00,
Pies/Apple Strudel,Small apple strudel,6.95,
Pies/Apple Strudel,Full slab applestrudel,175.00,
Pies/Apple Strudel,1/2 slab applestrudel,80.00,
Platters (2 Scoops/Portion),Regular,variable,Bagels and Rolls are Extra
Platters (2 Scoops/Portion),Egg Salad,2.95,
Platters (2 Scoops/Portion),Tuna Salad,3.95,
Platters (2 Scoops/Portion),Cream Cheese,2.95,
Platters (2 Scoops/Portion),Cream Cheese & Lox,5.95,
Platters (2 Scoops/Portion),Lox,3.50,
Pretzel Challah,Regular,variable,
Pretzel Challah,Pretzel buns,1.55,
Pretzel Challah,Pretzel challah,8.95,
Pretzel Challah,Pretzel Demi baguette,1.55,
Pretzel Challah,pretzel bread,2.05,
Printed Picture Cupcake,Regular,4.25,
Purim,Hamentashen,1.95,
Purim,Yeast hamantaschen,4.25,
Purim,Fancy hamentashen,2.25,
Purim,Regular,variable,
Purim,Large Clown/Mask/Crown,4.95,
Purim,Small Clown/mask,2.95,
Purim,Hand Written - Square/Round/Star,3.25,
Purim,Printed cookie,4.25,
Purim,Individually packed hamentashen,2.20,
Purim,Hamantosh,variable,
Purim,Purim Kit,variable,
Purim,Bag w/ juice,11.95,
Purim,Small Bowl,18.95,
Purim,Medium bowl,21.95,
Purim,Large Bowl,29.95,
Purim,Basket,45.00,
Purim,Big Basket,50.00,
Rogallach/Jam & Chocolate Twist,Rogallach Choc & Cinnamon,1.75,
Rogallach/Jam & Chocolate Twist,Jam Twist (per lb),20.00,
Rogallach/Jam & Chocolate Twist,Jam Rogallach,4.75,
Rosh Hashanah Baskets,Regular,variable,
Rosh Hashanah Baskets,Mini honey jars,14.95,
Rosh Hashanah Baskets,Square cookie box,21.00,
Rosh Hashanah Baskets,Rectangle cookie box,27.50,
Rosh Hashanah Baskets,Small plate,44.95,
Rosh Hashanah Baskets,Large plate,59.95,
Rosh Hashanah Baskets,Small gift basket,75.00,
Rosh Hashanah Baskets,12" Choco chip Cookie gram,45.00,
Rosh Hashanah Baskets,Cookie kit,37.50,
